count	mean	season_end	season_start	std	replicate
35	0.9986	1997-07-01	1996-07-01	0.4411	0
108	1.1739	1998-07-01	1997-07-01	0.607	0
129	1.3559	1999-07-01	1998-07-01	0.8635	0
129	1.1947	2000-07-01	1999-07-01	0.8195	0
112	0.875	2001-07-01	2000-07-01	0.4182	0
238	1.4225	2002-07-01	2001-07-01	0.9392	0
216	1.1861	2003-07-01	2002-07-01	0.6894	0
348	1.296	2004-07-01	2003-07-01	0.7206	0
390	1.6329	2005-07-01	2004-07-01	1.0359	0
288	0.9106	2006-07-01	2005-07-01	0.4051	0
413	2.0987	2007-07-01	2006-07-01	2.0815	0
435	1.2292	2008-07-01	2007-07-01	1.0035	0
477	1.5754	2009-07-01	2008-07-01	1.088	0
334	1.2168	2010-07-01	2009-07-01	0.5956	0
560	2.1071	2011-07-01	2010-07-01	1.9014	0
529	2.0329	2012-07-01	2011-07-01	1.7579	0
567	1.8492	2013-07-01	2012-07-01	1.37	0
559	1.7862	2014-07-01	2013-07-01	1.2821	0
575	2.0734	2015-07-01	2014-07-01	1.6179	0
599	1.72	2016-07-01	2015-07-01	1.6281	0
613	1.4098	2017-07-01	2016-07-01	0.7693	0
598	2.3666	2018-07-01	2017-07-01	1.8933	0
603	1.6986	2019-07-01	2018-07-01	1.37	0
151	0.7492	2020-07-01	2019-07-01	0.3378	0
35	1.0183	1997-07-01	1996-07-01	0.5015	1
108	1.0419	1998-07-01	1997-07-01	0.4599	1
129	1.3669	1999-07-01	1998-07-01	0.9177	1
129	1.2896	2000-07-01	1999-07-01	1.0244	1
112	0.8783	2001-07-01	2000-07-01	0.416	1
238	1.2898	2002-07-01	2001-07-01	0.7174	1
214	1.2973	2003-07-01	2002-07-01	0.9029	1
351	1.3677	2004-07-01	2003-07-01	0.7446	1
391	1.7803	2005-07-01	2004-07-01	1.2849	1
286	0.9934	2006-07-01	2005-07-01	0.4501	1
413	2.1201	2007-07-01	2006-07-01	1.9406	1
435	1.2889	2008-07-01	2007-07-01	0.8934	1
476	1.7261	2009-07-01	2008-07-01	1.1811	1
335	1.1608	2010-07-01	2009-07-01	0.6171	1
560	2.234	2011-07-01	2010-07-01	2.176	1
529	2.0085	2012-07-01	2011-07-01	1.6786	1
568	1.8657	2013-07-01	2012-07-01	1.4003	1
556	1.7316	2014-07-01	2013-07-01	1.2589	1
576	2.0653	2015-07-01	2014-07-01	1.7306	1
600	1.9932	2016-07-01	2015-07-01	1.9104	1
613	1.4737	2017-07-01	2016-07-01	0.8316	1
598	2.5625	2018-07-01	2017-07-01	2.4195	1
604	1.7252	2019-07-01	2018-07-01	1.4251	1
150	0.8054	2020-07-01	2019-07-01	0.3566	1
35	1.053	1997-07-01	1996-07-01	0.4994	2
108	1.0553	1998-07-01	1997-07-01	0.484	2
129	1.3497	1999-07-01	1998-07-01	0.8751	2
129	1.2194	2000-07-01	1999-07-01	0.884	2
112	0.911	2001-07-01	2000-07-01	0.4804	2
238	1.5788	2002-07-01	2001-07-01	1.1691	2
215	1.3328	2003-07-01	2002-07-01	0.7182	2
350	1.3146	2004-07-01	2003-07-01	0.709	2
389	1.9325	2005-07-01	2004-07-01	1.3552	2
288	1.0347	2006-07-01	2005-07-01	0.4653	2
413	2.055	2007-07-01	2006-07-01	1.9289	2
435	1.0903	2008-07-01	2007-07-01	0.7509	2
476	1.5987	2009-07-01	2008-07-01	1.199	2
336	1.2012	2010-07-01	2009-07-01	0.6514	2
559	2.0814	2011-07-01	2010-07-01	2.0152	2
529	2.1688	2012-07-01	2011-07-01	1.798	2
568	1.746	2013-07-01	2012-07-01	1.3082	2
556	1.8499	2014-07-01	2013-07-01	1.3257	2
577	2.0887	2015-07-01	2014-07-01	1.6868	2
600	1.5376	2016-07-01	2015-07-01	1.1794	2
612	1.4238	2017-07-01	2016-07-01	0.7446	2
599	2.4365	2018-07-01	2017-07-01	2.2612	2
604	1.999	2019-07-01	2018-07-01	1.9785	2
149	0.8527	2020-07-01	2019-07-01	0.4424	2
35	0.9651	1997-07-01	1996-07-01	0.4361	3
108	1.17	1998-07-01	1997-07-01	0.5982	3
129	1.3941	1999-07-01	1998-07-01	0.9034	3
129	1.1534	2000-07-01	1999-07-01	0.7506	3
112	0.93	2001-07-01	2000-07-01	0.5161	3
238	1.5659	2002-07-01	2001-07-01	1.148	3
218	1.1957	2003-07-01	2002-07-01	0.6956	3
347	1.2651	2004-07-01	2003-07-01	0.7302	3
389	1.5564	2005-07-01	2004-07-01	0.9795	3
288	0.9984	2006-07-01	2005-07-01	0.4375	3
413	2.075	2007-07-01	2006-07-01	1.8238	3
435	1.2441	2008-07-01	2007-07-01	0.942	3
476	1.5116	2009-07-01	2008-07-01	0.9247	3
337	1.2111	2010-07-01	2009-07-01	0.6544	3
558	1.8151	2011-07-01	2010-07-01	1.492	3
529	2.0178	2012-07-01	2011-07-01	1.6518	3
567	2.2042	2013-07-01	2012-07-01	1.7404	3
559	1.6459	2014-07-01	2013-07-01	1.2086	3
578	2.1472	2015-07-01	2014-07-01	1.6811	3
597	1.7245	2016-07-01	2015-07-01	1.2615	3
613	1.4951	2017-07-01	2016-07-01	0.8616	3
599	2.59	2018-07-01	2017-07-01	2.5348	3
599	1.5999	2019-07-01	2018-07-01	1.2518	3
154	0.713	2020-07-01	2019-07-01	0.3204	3
35	0.962	1997-07-01	1996-07-01	0.4518	4
108	1.1858	1998-07-01	1997-07-01	0.5752	4
129	1.3375	1999-07-01	1998-07-01	0.8895	4
129	1.1804	2000-07-01	1999-07-01	0.8502	4
112	0.9589	2001-07-01	2000-07-01	0.5365	4
237	1.3929	2002-07-01	2001-07-01	0.8393	4
216	1.1814	2003-07-01	2002-07-01	0.7097	4
350	1.2303	2004-07-01	2003-07-01	0.7612	4
390	1.7688	2005-07-01	2004-07-01	1.3483	4
287	1.061	2006-07-01	2005-07-01	0.6374	4
413	1.4415	2007-07-01	2006-07-01	1.0215	4
435	1.0119	2008-07-01	2007-07-01	0.6118	4
476	1.5908	2009-07-01	2008-07-01	1.1478	4
337	1.1644	2010-07-01	2009-07-01	0.5921	4
558	2.1645	2011-07-01	2010-07-01	1.9474	4
529	2.1948	2012-07-01	2011-07-01	1.8597	4
568	2.2471	2013-07-01	2012-07-01	1.6787	4
556	1.8192	2014-07-01	2013-07-01	1.2595	4
577	2.4441	2015-07-01	2014-07-01	2.1081	4
598	2.0321	2016-07-01	2015-07-01	1.8197	4
613	1.4942	2017-07-01	2016-07-01	0.8448	4
599	2.137	2018-07-01	2017-07-01	1.5742	4
600	1.6817	2019-07-01	2018-07-01	1.2817	4
153	0.8681	2020-07-01	2019-07-01	0.4296	4
